subject_group	total
Crafts & Visual Arts/Bergner, Yosl, 1920-	2
Hobbies, Recreation & Sport/Tour de France (Bicycle race)	3
Agriculture, Business, Commerce & Industry/Cotton	12
Economics, Philosophy, Politics, Religion & Sociology/Israel - Religion	10
Food, Health, Lifestyle, Medicine, Psychology & Safety/Public health - India	4
Anthropology, Ethnology, Exploration & Travel/Argentina - Social life and customs	11
Mathematics, Science & Technology/Periodic law	7
Economics, Philosophy, Politics, Religion & Sociology/Revolutions and socialism - Nicaragua	7
Crafts & Visual Arts/Photographers - United States	23
Literature/Miller, Henry, 1891-1980	1
Advertising, Film, Journalism, Mass Media & TV/Hudson, Rock, 1925-1985	1
History/Indians of North America - Reservations	10
Hobbies, Recreation & Sport/Bradman, Donald, Sir, 1908-	17
History/Labor - History	6
Places/Suez Canal (Egypt)	6
Literature/Literature - Study and teaching	94
People/Klinger, Max, 1857-1920	1
Advertising, Film, Journalism, Mass Media & TV/Film festivals - Italy - Milan - Awards	9
History/Casanova, Giacomo, 1725-1798	1
Advertising, Film, Journalism, Mass Media & TV/Journalism	62
Animals & Wildlife/Waterfowl	9
Anthropology, Ethnology, Exploration & Travel/Mount Hotham (Vic.)	3
Economics, Philosophy, Politics, Religion & Sociology/Country life - Australia	125
Hobbies, Recreation & Sport/Golf courses - Australia	3
Places/Woomera (S. Aust.)	5
People/Ford, Henry, 1863-1947	3
Advertising, Film, Journalism, Mass Media & TV/Television	1193
People/Key, Wilson Bryan, 1925-	1
People/Maymuru, Narritjin	6
Climate, Environment, Natural Resources & Disasters/Mountain ecology	13
Climate, Environment, Natural Resources & Disasters/Power resources - New Zealand	4
Agriculture, Business, Commerce & Industry/Wealth	13
Anthropology, Ethnology, Exploration & Travel/Geelong (Vic.)	11
History/First Fleet, 1787-1788	10
People/Bergman, Ingrid, 1915-1982	1
Family, Gender Identity, Relationships & Sexuality/Fathers and daughters	80
People/Bellette, Jean, 1909-	1
History/Japan - Civilization - American influences	14
Education, Instruction, Teaching & Schools/Educational technology	10
Literature/Duke, Jas H.	1
Hobbies, Recreation & Sport/Football players - Australia - Biography	6
People/Linnaeus, Carl	1
Anthropology, Ethnology, Exploration & Travel/Tonga Islands - Social life and customs	5
Anthropology, Ethnology, Exploration & Travel/Florida	18
Food, Health, Lifestyle, Medicine, Psychology & Safety/Genetic disorders	5
People/Bowie, David, 1947-	4
Animals & Wildlife/Eagles	9
People/Coombs, Herbert Cole, 1906-1997	1
Anthropology, Ethnology, Exploration & Travel/Persian Gulf	7
Anthropology, Ethnology, Exploration & Travel/Danube River	6
Literature/Nin, Anais, 1903-1977	1
Food, Health, Lifestyle, Medicine, Psychology & Safety/Handicapped children - Development	47
People/Gawler, Ian, 1950-	1
History/Norfolk Island	6
People/Caswell, Robert	1
Crafts & Visual Arts/Architecture, French	11
Places/Birdsville Track (S. Aust. and Qld.)	5
Crafts & Visual Arts/Lycett, Joseph, ca. 1775-1828	1
Agriculture, Business, Commerce & Industry/Miners	22
Economics, Philosophy, Politics, Religion & Sociology/Sudan - Economic conditions	6
Music & Performing Arts/Music videos	89
History/Bligh, William, 1754-1817	3
Education, Instruction, Teaching & Schools/Education - South Australia	13
Animals & Wildlife/Galdikas-Brindamour, Birute	1
Armed Forces, Military, War & Weapons/Samurai - Conduct of life	28
Economics, Philosophy, Politics, Religion & Sociology/Communism - Australia	7
Food, Health, Lifestyle, Medicine, Psychology & Safety/Bullying	56
People/Devlin, Anne	1
Communications, Infrastructure, & Transport/Postal service	18
Agriculture, Business, Commerce & Industry/Power resources - Australia	19
Food, Health, Lifestyle, Medicine, Psychology & Safety/Child care	77
Anthropology, Ethnology, Exploration & Travel/Kalahari Desert	6
Agriculture, Business, Commerce & Industry/Corporate planning	5
Anthropology, Ethnology, Exploration & Travel/Gardens, Japanese	6
Armed Forces, Military, War & Weapons/War	201
Anthropology, Ethnology, Exploration & Travel/Gettysburg (Pa.)	6
